Date,Start Time,End Time,Bored Ape Yacht Club,CryptoPunks,Cool Cats,Meebits,Crypto Kitties,Azuki,Noundles,Ghozali Everyday,IreneDAO,The Heart Project
December 12,2021-12-12 0:00:00,2021-12-12 23:59:59,,,,,,,,,,
December 13,2021-12-13 0:00:00,2021-12-13 23:59:59,,,,,,,,,,
December 14,2021-12-14 0:00:00,2021-12-14 23:59:59,,,,,,,,,,
December 15,2021-12-15 0:00:00,2021-12-15 23:59:59,,,,,,,,,,
December 16,2021-12-16 0:00:00,2021-12-16 23:59:59,,,,,,,,,,
December 17,2021-12-17 0:00:00,2021-12-17 23:59:59,,,,,,,,,,
December 18,2021-12-18 0:00:00,2021-12-18 23:59:59,,,,,,,,,,
December 19,2021-12-19 0:00:00,2021-12-19 23:59:59,,,,,,,,,,
December 20,2021-12-20 0:00:00,2021-12-20 23:59:59,,,,,,,,,,
December 21,2021-12-21 0:00:00,2021-12-21 23:59:59,,,,,,,,,,
December 22,2021-12-22 0:00:00,2021-12-22 23:59:59,,,,,,,,,,
December 23,2021-12-23 0:00:00,2021-12-23 23:59:59,,,,,,,,,,
December 24,2021-12-24 0:00:00,2021-12-24 23:59:59,,,,,,,,,,
December 25,2021-12-25 0:00:00,2021-12-25 23:59:59,,,,,,,,,,
December 26,2021-12-26 0:00:00,2021-12-26 23:59:59,,,,,,,,,,
December 27,2021-12-27 0:00:00,2021-12-27 23:59:59,,,,,,,,,,
December 28,2021-12-28 0:00:00,2021-12-28 23:59:59,,,,,,,,,,
December 29,2021-12-29 0:00:00,2021-12-29 23:59:59,,,,,,,,,,
December 30,2021-12-30 0:00:00,2021-12-30 23:59:59,,,,,,,,,,
December 31,2021-12-31 0:00:00,2021-12-31 23:59:59,,,,,,,,,,
January 1,2022-01-01 0:00:00,2022-01-01 23:59:59,,,,,,,,,,
